hostname,phagename,infection
Escherichia_coli,NC_001418,NoInf
Pseudomonas_aeruginosa,NC_001418,Inf
Streptococcus_thermophilus,NC_002072,Inf
Chlamydia_psittaci,NC_002194,Inf
Chlamydia_trachomatis,NC_002194,NoInf
Streptomyces_exfoliatus,NC_005345,Inf
Streptomyces_venezuelae,NC_005345,Inf
Lactobacillus_brevis,NC_006936,NoInf
Lactobacillus_casei,NC_006936,NoInf
Lactobacillus_coryniformis,NC_006936,NoInf
Lactobacillus_curvatus,NC_006936,NoInf
Lactobacillus_fructivorans,NC_006936,NoInf
Lactobacillus_fructosus,NC_006936,NoInf
Lactobacillus_gasseri,NC_006936,NoInf
Lactobacillus_hilgardii,NC_006936,NoInf
Lactobacillus_jensenii,NC_006936,NoInf
Lactobacillus_mali,NC_006936,NoInf
Lactobacillus_paracasei,NC_006936,NoInf
Lactobacillus_paraplantarum,NC_006936,NoInf
Lactobacillus_pentosaceus,NC_006936,NoInf
Lactobacillus_plantarum,NC_006936,Inf
Lactobacillus_reuteri,NC_006936,NoInf
Lactobacillus_salivarius,NC_006936,NoInf
Lactococcus_lactis,NC_006936,NoInf
Leuconostoc_fallax,NC_006936,NoInf
Leuconostoc_lactis,NC_006936,NoInf
Leuconostoc_mesenteroides,NC_006936,NoInf
Leuconostoc_paramesenteroides,NC_006936,NoInf
Pediococcus_dextrinicus,NC_006936,NoInf
Pediococcus_pentosaceus,NC_006936,NoInf
Bacillus_megaterium,NC_006945,NoInf
Bacillus_thuringiensis,NC_006945,Inf
Bacillus_pumilus,NC_007456,NoInf
Bacillus_subtilis,NC_007456,NoInf
Escherichia_coli,NC_007456,Inf
Pseudomonas_putida,NC_007456,NoInf
Bacillus_anthracis,NC_007734,Inf
Bacillus_cereus,NC_007734,Inf
Bacillus_subtilis,NC_008721,NoInf
Escherichia_coli,NC_008721,NoInf
Streptococcus_suis,NC_008721,Inf
Streptococcus_zooepidemicus,NC_008721,NoInf
Corynebacterium_glutamicum,NC_009799,NoInf
Streptococcus_thermophilus,NC_013598,Inf
Enterococcus_faecalis,NC_013643,Inf
Enterococcus_faecalis,NC_013644,Inf
Streptococcus_thermophilus,NC_013645,Inf
Enterococcus_faecalis,NC_013646,Inf
Enterococcus_faecalis,NC_013648,Inf
Bacillus_cereus,NC_015252,NoInf
Bacillus_thuringiensis,NC_015252,NoInf
Brochothrix_thermosphacta,NC_015252,Inf
Enterococcus_faecalis,NC_015252,NoInf
Lactobacillus_casei,NC_015252,NoInf
Listeria_ivanovii,NC_015252,NoInf
Listeria_monocytogenes,NC_015252,NoInf
Staphylococcus_aureus,NC_015252,NoInf
Staphylococcus_carnosus,NC_015252,NoInf
Staphylococcus_simulans,NC_015252,NoInf
Bacillus_cereus,NC_015253,NoInf
Bacillus_thuringiensis,NC_015253,NoInf
Brochothrix_thermosphacta,NC_015253,Inf
Enterococcus_faecalis,NC_015253,NoInf
Lactobacillus_casei,NC_015253,NoInf
Listeria_ivanovii,NC_015253,NoInf
Listeria_monocytogenes,NC_015253,NoInf
Staphylococcus_aureus,NC_015253,NoInf
Staphylococcus_carnosus,NC_015253,NoInf
Staphylococcus_simulans,NC_015253,NoInf
Bacillus_cereus,NC_015254,NoInf
Bacillus_thuringiensis,NC_015254,NoInf
Brochothrix_thermosphacta,NC_015254,Inf
Enterococcus_faecalis,NC_015254,NoInf
Lactobacillus_casei,NC_015254,NoInf
Listeria_ivanovii,NC_015254,NoInf
Listeria_monocytogenes,NC_015254,NoInf
Staphylococcus_aureus,NC_015254,NoInf
Staphylococcus_carnosus,NC_015254,NoInf
Staphylococcus_simulans,NC_015254,NoInf
Escherichia_coli,NC_015269,Inf
Salmonella_enterica,NC_015269,Inf
Ralstonia_solanacearum,NC_015297,Inf
