uniqPhages,uniqSpecies,Infectivity
1.003.O.,Aliivibrio fischeri,NoInf
1.003.O.,Enterovibrio norvegicus,Inf
1.003.O.,Shewanella sp. 10N.6,NoInf
1.003.O.,Shewanella sp. 10N.7,NoInf
1.003.O.,Vibrio alginolyticus,NoInf
1.003.O.,Vibrio anguillarum,NoInf
1.003.O.,Vibrio breoganii,NoInf
1.003.O.,Vibrio cyclitrophicus,NoInf
1.003.O.,Vibrio jasicida,NoInf
1.003.O.,Vibrio kanaloae,NoInf
1.003.O.,Vibrio lentus,Inf
1.003.O.,Vibrio parahaemolyticus,NoInf
1.003.O.,Vibrio sp. 10N.1,NoInf
1.003.O.,Vibrio sp. 10N.2,NoInf
1.003.O.,Vibrio sp. 10N.3,NoInf
1.003.O.,Vibrio sp. 10N.4,NoInf
1.003.O.,Vibrio sp. 10N.5,NoInf
1.003.O.,Vibrio sp. F12,NoInf
1.003.O.,Vibrio sp. F13,NoInf
1.003.O.,Vibrio splendidus,NoInf
1.003.O.,Vibrio tasmaniensis,NoInf
1.003.O.,Vibrio vulnificus,NoInf
1.004.O.,Aliivibrio fischeri,NoInf
1.004.O.,Enterovibrio norvegicus,NoInf
1.004.O.,Shewanella sp. 10N.6,NoInf
1.004.O.,Shewanella sp. 10N.7,NoInf
1.004.O.,Vibrio alginolyticus,NoInf
1.004.O.,Vibrio anguillarum,NoInf
1.004.O.,Vibrio breoganii,NoInf
1.004.O.,Vibrio cyclitrophicus,NoInf
1.004.O.,Vibrio jasicida,NoInf
1.004.O.,Vibrio kanaloae,NoInf
1.004.O.,Vibrio lentus,Inf
1.004.O.,Vibrio parahaemolyticus,NoInf
1.004.O.,Vibrio sp. 10N.1,NoInf
1.004.O.,Vibrio sp. 10N.2,NoInf
1.004.O.,Vibrio sp. 10N.3,NoInf
1.004.O.,Vibrio sp. 10N.4,NoInf
1.004.O.,Vibrio sp. 10N.5,NoInf
1.004.O.,Vibrio sp. F12,NoInf
1.004.O.,Vibrio sp. F13,NoInf
1.004.O.,Vibrio splendidus,NoInf
1.004.O.,Vibrio tasmaniensis,NoInf
1.004.O.,Vibrio vulnificus,NoInf
1.005.O.,Aliivibrio fischeri,NoInf
1.005.O.,Enterovibrio norvegicus,NoInf
1.005.O.,Shewanella sp. 10N.6,NoInf
1.005.O.,Shewanella sp. 10N.7,NoInf
1.005.O.,Vibrio alginolyticus,NoInf
1.005.O.,Vibrio anguillarum,NoInf
1.005.O.,Vibrio breoganii,NoInf
1.005.O.,Vibrio cyclitrophicus,NoInf
1.005.O.,Vibrio jasicida,NoInf
1.005.O.,Vibrio kanaloae,NoInf
1.005.O.,Vibrio lentus,NoInf
1.005.O.,Vibrio parahaemolyticus,NoInf
1.005.O.,Vibrio sp. 10N.1,NoInf
1.005.O.,Vibrio sp. 10N.2,NoInf
1.005.O.,Vibrio sp. 10N.3,NoInf
1.005.O.,Vibrio sp. 10N.4,NoInf
1.005.O.,Vibrio sp. 10N.5,NoInf
1.005.O.,Vibrio sp. F12,NoInf
1.005.O.,Vibrio sp. F13,NoInf
1.005.O.,Vibrio splendidus,Inf
1.005.O.,Vibrio tasmaniensis,NoInf
1.005.O.,Vibrio vulnificus,NoInf
1.007.O.,Aliivibrio fischeri,NoInf
1.007.O.,Enterovibrio norvegicus,NoInf
1.007.O.,Shewanella sp. 10N.6,NoInf
1.007.O.,Shewanella sp. 10N.7,NoInf
1.007.O.,Vibrio alginolyticus,NoInf
1.007.O.,Vibrio anguillarum,NoInf
1.007.O.,Vibrio breoganii,NoInf
1.007.O.,Vibrio cyclitrophicus,Inf
1.007.O.,Vibrio jasicida,NoInf
1.007.O.,Vibrio kanaloae,NoInf
1.007.O.,Vibrio lentus,NoInf
1.007.O.,Vibrio parahaemolyticus,NoInf
1.007.O.,Vibrio sp. 10N.1,NoInf
1.007.O.,Vibrio sp. 10N.2,NoInf
1.007.O.,Vibrio sp. 10N.3,NoInf
1.007.O.,Vibrio sp. 10N.4,NoInf
1.007.O.,Vibrio sp. 10N.5,NoInf
1.007.O.,Vibrio sp. F12,NoInf
1.007.O.,Vibrio sp. F13,NoInf
1.007.O.,Vibrio splendidus,NoInf
1.007.O.,Vibrio tasmaniensis,NoInf
1.007.O.,Vibrio vulnificus,NoInf
1.008.O.,Aliivibrio fischeri,NoInf
1.008.O.,Enterovibrio norvegicus,Inf
1.008.O.,Shewanella sp. 10N.6,NoInf
1.008.O.,Shewanella sp. 10N.7,NoInf
1.008.O.,Vibrio alginolyticus,NoInf
1.008.O.,Vibrio anguillarum,NoInf
1.008.O.,Vibrio breoganii,Inf
1.008.O.,Vibrio cyclitrophicus,Inf
1.008.O.,Vibrio jasicida,NoInf
1.008.O.,Vibrio kanaloae,NoInf
1.008.O.,Vibrio lentus,Inf
1.008.O.,Vibrio parahaemolyticus,NoInf
1.008.O.,Vibrio sp. 10N.1,NoInf
1.008.O.,Vibrio sp. 10N.2,NoInf
1.008.O.,Vibrio sp. 10N.3,NoInf
1.008.O.,Vibrio sp. 10N.4,NoInf
1.008.O.,Vibrio sp. 10N.5,NoInf
1.008.O.,Vibrio sp. F12,Inf
1.008.O.,Vibrio sp. F13,NoInf
1.008.O.,Vibrio splendidus,Inf
1.008.O.,Vibrio tasmaniensis,NoInf
1.008.O.,Vibrio vulnificus,NoInf
1.009.O.,Aliivibrio fischeri,NoInf
1.009.O.,Enterovibrio norvegicus,NoInf
1.009.O.,Shewanella sp. 10N.6,NoInf
1.009.O.,Shewanella sp. 10N.7,NoInf
1.009.O.,Vibrio alginolyticus,NoInf
1.009.O.,Vibrio anguillarum,NoInf
1.009.O.,Vibrio breoganii,NoInf
1.009.O.,Vibrio cyclitrophicus,NoInf
1.009.O.,Vibrio jasicida,NoInf
1.009.O.,Vibrio kanaloae,NoInf
1.009.O.,Vibrio lentus,Inf
1.009.O.,Vibrio parahaemolyticus,NoInf
1.009.O.,Vibrio sp. 10N.1,NoInf
1.009.O.,Vibrio sp. 10N.2,NoInf
1.009.O.,Vibrio sp. 10N.3,NoInf
1.009.O.,Vibrio sp. 10N.4,NoInf
1.009.O.,Vibrio sp. 10N.5,NoInf
1.009.O.,Vibrio sp. F12,NoInf
1.009.O.,Vibrio sp. F13,NoInf
1.009.O.,Vibrio splendidus,NoInf
1.009.O.,Vibrio tasmaniensis,NoInf
