	host	virus	Infection
0	S. aureus	PG-2021_9	1
1	S. aureus	PG-2021_38	1
2	S. aureus	PG-2021_16	1
3	S. aureus	PG-2021_84	1
4	S. aureus	PG-2021_15	1
5	S. aureus	PG-2021_45	1
6	S. aureus	PG-2021_17	1
7	S. aureus	PG-2021_10	1
8	S. aureus	PG-2021_86	1
9	S. aureus	PG-2021_85	0
10	S. aureus	PG-2021_48	1
11	S. aureus	PG-2021_2	0
12	S. aureus	PG-2021_29	0
13	S. aureus	PG-2021_87	1
14	S. aureus	PG-2021_8	1
15	S. aureus	PG-2021_64	1
16	S. aureus	PG-2021_47	1
17	S. aureus	PG-2021_34	1
18	S. aureus	PG-2021_20	0
19	S. aureus	PG-2021_49	1
20	S. aureus	PG-2021_18	1
21	S. aureus	PG-2021_21	0
22	S. aureus	PG-2021_30	0
23	S. aureus	PG-2021_35	0
24	S. aureus	PG-2021_36	0
25	S. aureus	PG-2021_69	0
26	S. aureus	PG-2021_58	0
27	S. aureus	PG-2021_57	0
28	S. aureus	PG-2021_65	0
29	S. aureus	PG-2021_81	0
30	S. aureus	PG-2021_83	0
31	S. aureus	PG-2021_66	0
32	S. aureus	PG-2021_56	0
33	S. aureus	PG-2021_71	0
34	S. aureus	PG-2021_1	1
35	S. aureus	PG-2021_62	0
36	S. aureus	PG-2021_75	0
37	S. aureus	PG-2021_61	0
38	S. aureus	PG-2021_79	0
39	S. aureus	PG-2021_60	0
40	S. aureus	PG-2021_5	0
41	S. aureus	PG-2021_74	0
42	S. aureus	PG-2021_88	0
43	S. aureus	PG-2021_82	0
44	S. aureus	PG-2021_44	0
45	S. aureus	PG-2021_80	0
46	S. aureus	PG-2021_54	0
47	S. aureus	PG-2021_63	1
48	S. aureus	PG-2021_73	0
49	S. aureus	PG-2021_72	0
50	S. aureus	PG-2021_7	1
51	S. aureus	PG-2021_25	0
52	S. aureus	PG-2021_19	0
53	S. aureus	PG-2021_78	1
54	S. aureus	PG-2021_3	1
55	S. aureus	PG-2021_77	0
56	S. aureus	PG-2021_37	1
57	S. aureus	PG-2021_53	1
58	S. aureus	PG-2021_70	0
59	S. aureus	PG-2021_55	0
60	S. aureus	PG-2021_50	1
61	S. aureus	PG-2021_51	1
62	S. aureus	PG-2021_59	0
63	S. aureus	PG-2021_28	1
64	S. aureus	PG-2021_27	1
65	S. aureus	PG-2021_46	0
66	S. aureus	PG-2021_33	1
67	S. aureus	PG-2021_31	0
68	S. aureus	PG-2021_32	0
69	S. aureus	PG-2021_76	0
70	S. aureus	PG-2021_42	1
71	S. aureus	PG-2021_12	1
72	S. aureus	PG-2021_14	1
73	S. aureus	PG-2021_23	1
74	S. aureus	PG-2021_24	1
75	S. aureus	PG-2021_40	1
76	S. aureus	PG-2021_39	1
77	S. aureus	PG-2021_41	0
78	S. aureus	PG-2021_26	0
79	S. aureus	PG-2021_11	1
80	S. aureus	PG-2021_13	1
