Unnamed: 0,hostname,phagename,infection,k3dist,k6dist,GCdiff,Homology,pairs,data,Codon_Frq_Slope,Codon_Frq_R2,Codon_Frq_Cosine,AA_Frq_Slope,AA_Frq_R2,AA_Frq_Cosine,RSCU_Slope,RSCU_R2,RSCU_Cosine,virusTAAI_hosttRNA,virusTAAI_totaltRNA,virusTCAI_hosttRNA,virusTCAI_totaltRNA
1,Staphylococcus_arlettae,PG-2021_10,NoInf,0.57844884571983,0.402651436422747,-2.74211366251363,0,Staphylococcus_arlettae:PG-2021_10,StaphStudy,0.38405667667074417,0.8090741913128066,0.8874058008709399,0.3824603125689098,0.7989018101196353,0.24480702009977418,0.03122512149945933,0.2349659574346692,0.40110340610998785,0.5357056338613434,0.0018254302051420312,0.26186080777624654,0.8599539456046643
2,Staphylococcus_aureus,PG-2021_10,Inf,0.616029772083553,0.433583644089519,-2.08969381825635,0,Staphylococcus_aureus:PG-2021_10,StaphStudy,0.5602892584139105,0.028730219533307122,0.19915704100944676,0.8394510769463818,0.4715409291140711,0.4520472392145499,0.5889580155951724,0.3587361656545206,0.9015529308717135,0.019754473201523792,0.9654752386092702,0.3432110901586607,0.5165719178677965
3,Staphylococcus_auricularis,PG-2021_10,NoInf,0.683113315033196,0.479902869830796,-6.60904621248772,0,Staphylococcus_auricularis:PG-2021_10,StaphStudy,0.5079109647445398,0.14007422541056613,0.3188467754935793,0.6317011201171879,0.40807793765917755,0.40270921890658273,0.02509210686041774,0.38236542407134266,0.012387804512266953,0.3307232464985502,0.4847820457995514,0.6270075230305077,0.6584191269557218
4,Staphylococcus_capitis,PG-2021_10,Inf,0.453624148369023,0.328484213143478,-2.15669950303719,0,Staphylococcus_capitis:PG-2021_10,StaphStudy,0.6862609141355541,0.8144967981253575,0.6287196430497867,0.418116187884953,0.6842199216077015,0.08256632580700118,0.8644597518627062,0.16872717868784337,0.9160900686659461,0.19753281163781555,0.6147062676395789,0.33265704557899256,0.0006454556235608866
5,Staphylococcus_caprae,PG-2021_10,NoInf,0.550319227217507,0.381438898479678,-2.84984490687334,0,Staphylococcus_caprae:PG-2021_10,StaphStudy,0.3672980310254689,0.4213183960223964,0.8588518839406984,0.027371059867570713,0.3959684735045498,0.0001412722662822441,0.34448861347121273,0.565926162234859,0.19951452253480495,0.7233317956972195,0.19494958220877945,0.06693091613276303,0.42846852429175497
6,Staphylococcus_chromogenes,PG-2021_10,Inf,0.687791691069096,0.497662270152366,-6.12190634548933,0,Staphylococcus_chromogenes:PG-2021_10,StaphStudy,0.7403902858935789,0.0756449773884117,0.09341580593099952,0.615878154708694,0.5217301228617052,0.9149144913652202,0.8341315050212558,0.4945324566887337,0.6701952283051604,0.955904545173691,0.21217921191946354,0.9459260247294617,0.7576874582285418
7,Staphylococcus_cohnii,PG-2021_10,Inf,0.56978264901187,0.410313607714242,-1.92349628593065,0,Staphylococcus_cohnii:PG-2021_10,StaphStudy,0.8479804500032097,0.07222681671261721,0.3828510267573991,0.27203152288870003,0.909803458082612,0.679507040261076,0.3663275268410644,0.3057395657908205,0.5736130446785779,0.7005763872837671,0.6584141962521017,0.6153666644276983,0.13733211409906054
8,Staphylococcus_epidermidis,PG-2021_10,Inf,0.50920994997971,0.366701769220402,-1.32529325747863,0,Staphylococcus_epidermidis:PG-2021_10,StaphStudy,0.10169579706922338,0.7276220782836388,0.36625994543461016,0.19847018714902542,0.25480658065802564,0.5163907706624428,0.4728258946150026,0.49768367281644055,0.6632943508244243,0.6089901332211535,0.45590069109749043,0.8396186871800123,0.7903154435846921
9,Staphylococcus_equorum,PG-2021_10,Inf,0.557698164289141,0.392506436716382,-2.35267450168031,0,Staphylococcus_equorum:PG-2021_10,StaphStudy,0.6800554976415264,0.20049908055091104,0.23051455785249353,0.08240238747605744,0.5396918465904731,0.6448395967393634,0.07622736034515853,0.6929334781215215,0.20775253577985353,0.9189800791321316,0.17068690185007473,0.8480448252874524,0.4296983153855266
10,Staphylococcus_fleuretti,PG-2021_10,NoInf,0.416863154589347,0.318281815782418,-0.713069331506524,0,Staphylococcus_fleuretti:PG-2021_10,StaphStudy,0.14826395352804245,0.6576753603770492,0.042084723122190915,0.8543142312078958,0.3444915899345795,0.8219976767811135,0.15839401699511135,0.2780771104832278,0.5245608737180999,0.283140590110295,0.7731973652575458,0.5261779272913449,0.7875635340701015
11,Staphylococcus_haemolyticus,PG-2021_10,NoInf,0.542528927955363,0.376330955409636,-2.02270848392886,0,Staphylococcus_haemolyticus:PG-2021_10,StaphStudy,0.5058675760097495,0.8669612335577699,0.2717660784176996,0.11059475236123162,0.032297140942374236,0.6784587225476815,0.2171833010177021,0.009165227161770484,0.9818592163417063,0.6758703523224283,0.7787217269621404,0.5259691259142444,0.7474533327944275
12,Staphylococcus_hominis,PG-2021_10,NoInf,0.515241172988888,0.359670859725775,-0.880371411497567,0,Staphylococcus_hominis:PG-2021_10,StaphStudy,0.17656093843822096,0.9368479135758253,0.10079015137470859,0.9768182842377394,0.09363358366276175,0.5340592329260295,0.3431473125763975,0.2777041166117217,0.31117406975117956,0.31894144117543344,0.8909309080986465,0.4577196887390672,0.44010529959976386
13,Staphylococcus_hyicus,PG-2021_10,NoInf,0.696680706036634,0.496397390072357,-4.80803385683884,0,Staphylococcus_hyicus:PG-2021_10,StaphStudy,0.8437002019161082,0.8567637699534408,0.5848317594394592,0.3270418492297399,0.21760422658008294,0.7287434588064635,0.3887482459302598,0.9345509241986918,0.3505623659095116,0.4192321649300287,0.728876800232025,0.7336485688210251,0.4715844895351493
14,Staphylococcus_kloosii,PG-2021_10,NoInf,0.617742148036772,0.410330830740983,-2.31277146226039,0,Staphylococcus_kloosii:PG-2021_10,StaphStudy,0.38478106008820256,0.3445046504491901,0.7184104167088973,0.25670296365463363,0.7803285916850105,0.525194003414031,0.035323433997789255,0.7391037622866907,0.20757956851435977,0.8478900462573074,0.7249366155316177,0.033754044564331176,0.6710693424757967
15,Staphylococcus_lentus,PG-2021_10,Inf,0.431955384345844,0.313086072500048,-1.12715663563818,0,Staphylococcus_lentus:PG-2021_10,StaphStudy,0.6699305717368156,0.9743792048120012,0.06358616202933742,0.7845611377441336,0.0959235231667156,0.40764939213844553,0.9271800952412792,0.03764202316977261,0.32828710852419285,0.4099769343529418,0.3789073364384479,0.9322205996989856,0.6768088230688631
16,Staphylococcus_lugdunensis,PG-2021_10,Inf,0.594753069949619,0.425545187339654,-2.9759262543269,0,Staphylococcus_lugdunensis:PG-2021_10,StaphStudy,0.2050814834372049,0.9704595101387525,0.049627338553420386,0.02089837205177325,0.5053872650778617,0.487377768066786,0.025970375870274953,0.5505878692183841,0.5125141972482053,0.9237970066945085,0.4081230817394774,0.7187003196510543,0.5174482381113907
17,Staphylococcus_nepalensis,PG-2021_10,NoInf,0.589148163972929,0.417791795037058,-2.34479766466181,0,Staphylococcus_nepalensis:PG-2021_10,StaphStudy,0.8979836385562109,0.7764474304584912,0.8855059722572793,0.6207408657806883,0.105692297861266,0.09495205565627673,0.07205054345298723,0.49166539591381153,0.8378724183734036,0.032906308940674034,0.7357193081375016,0.9394881483848074,0.23870953997338218
18,Staphylococcus_pasteuri,PG-2021_10,Inf,0.548378966986528,0.382119543311432,-1.93760380719813,0,Staphylococcus_pasteuri:PG-2021_10,StaphStudy,0.2655067494674701,0.015874034516525692,0.11434084064985861,0.748440516127359,0.752307227121782,0.5800577816030816,0.7002291773193192,0.3547649137004285,0.313386921508508,0.5996903109360676,0.6409197020157198,0.36306246470588477,0.6278093373195243
19,Staphylococcus_pettenkoferi,PG-2021_10,NoInf,0.636599232481385,0.459371854823531,-8.36586277443962,0,Staphylococcus_pettenkoferi:PG-2021_10,StaphStudy,0.16240126078927586,0.2432198138016345,0.9344258433310537,0.5947989660116786,0.6669931814423009,0.061652937925775975,0.18219382094798864,0.6562142092540793,0.1812804065404091,0.7367823842736754,0.6397085002540113,0.28847589008097163,0.625071159530734
20,Staphylococcus_pseudintermedius,PG-2021_10,NoInf,0.735481840322026,0.534399570619529,-6.86167156074051,0,Staphylococcus_pseudintermedius:PG-2021_10,StaphStudy,0.07338906245402665,0.24059365120253295,0.8590916884568331,0.7347926916051916,0.19412200047687622,0.8852606524473962,0.13598799171772724,0.7228378441490627,0.9987141843097631,0.2247909053612277,0.7404932309866802,0.8503544821705742,0.39892600061345806
21,Staphylococcus_saprophyticus,PG-2021_10,NoInf,0.59019883220251,0.42045664267669,-2.45884991943448,0,Staphylococcus_saprophyticus:PG-2021_10,StaphStudy,0.493121139595603,0.14153645337309062,0.6422856126075426,0.1979922136465877,0.6195562281828121,0.3977712816850304,0.0016668533996584411,0.836913327227749,0.321358920982349,0.25847833536535425,0.9827864468607403,0.6754324409577925,0.5118253711801467
